Ne,rep,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,bin25,bin26,bin27,bin28,bin29,bin30
18982,699,0.0056253734396896,0.0053833355596331,0.0053332649753124,0.0053333213494324,0.0053014061845274,0.0052712194840887,0.0053037929416416,0.0052990421054537,0.0052705774623854,0.0052741223750399,0.005284127819206,0.0052630069231083,0.0052709235019722,0.0052460855675715,0.005273747252604,0.0052727630649701,0.0052780958763461,0.0052608606774161,0.0052140030631091,0.005237805547795,0.0052625053040875,0.0052598316596413,0.0052464459603538,0.005243997828536,0.0052288674933174,0.0052122827781317,0.0052291230367768,0.005247953551071,0.0052151569942294,0.0052695171187961
19432,922,0.005699050732903,0.0055079959229698,0.0054447161785537,0.0053750183753095,0.0053744461944022,0.0053506110258987,0.005327191383617,0.0053755868414182,0.0053327030739795,0.0053553136878994,0.0053066928781128,0.0053171590925528,0.0053053202709118,0.0053567181788608,0.0053168542586902,0.0052895510510771,0.0053055942359437,0.0053000650431396,0.0052971552626201,0.005300387912967,0.0053357116400675,0.0053437261745479,0.0053460184976105,0.0053764116175226,0.0053216601812297,0.0053182405700722,0.0053526893361033,0.0053596041471269,0.0054136139569946,0.0053981099363343
19628,254,0.0055392660484451,0.0053257759264921,0.0052774146564954,0.0052612477982993,0.0052374725628105,0.0052246593530649,0.0052246017885472,0.0052081530672334,0.0051896205334423,0.0051668050174737,0.0051988987249815,0.0051704485715027,0.0051630094706079,0.005211788590078,0.0052159942267803,0.0051956776818126,0.0052142944322674,0.0052053445797844,0.00518015995314,0.0051747720085453,0.0052191793133288,0.0052193586592183,0.0051671708158169,0.0051809346755344,0.0052080553946591,0.005212185022918,0.0051945115543801,0.0051273665111828,0.0051320622373848,0.0052143118115019
20745,465,0.0057154374004925,0.0054978391749735,0.0054937924752532,0.0054405249393627,0.0053973292849987,0.0053946708715989,0.0053744131687177,0.0053829054761407,0.0053780971030496,0.0053775335518557,0.0053727527903742,0.0054054510912859,0.0053714699960409,0.0053597851609931,0.0053631566950383,0.0053106360918909,0.0053358871059358,0.0053022966914069,0.0053072312368696,0.0052858007786825,0.0052890888466347,0.0053118914489607,0.0052918538164889,0.005293514818871,0.0052631635142787,0.0052901035487058,0.0053197024819985,0.0052078113373355,0.005249066106251,0.0053040547376472
20764,273,0.0055260629484143,0.0053324712667667,0.0052678195827018,0.005234835787369,0.0052636320085963,0.0052718191454853,0.0052514220767635,0.0052540669833619,0.0052245977225303,0.0052176059651244,0.005195900133982,0.0052009678736939,0.0052504056903294,0.0051792714036214,0.0052108662530838,0.0051980849441079,0.0051845329339648,0.0052002391939165,0.0051781409597453,0.005180787742843,0.0051999297942416,0.005205219992727,0.0052101476541729,0.0051793316578275,0.0051913312905827,0.0051996635347168,0.0051870624767126,0.0051411210911441,0.0051725259757725,0.0051016514897676
20951,81,0.0057165762645196,0.0054987533124938,0.0054564286667524,0.0053970177217351,0.0054348177262319,0.0053699433305403,0.0053789057199856,0.0053703541379465,0.0053730136604642,0.005309671223578,0.0053453163815575,0.005328360454842,0.0053122928756998,0.0053500481851879,0.0053021333665109,0.005350722699142,0.0053198236679688,0.0052831857145515,0.0053287268369558,0.005339116358183,0.0053176629015408,0.0053834506238123,0.0054212815382155,0.005396263585034,0.005411833616554,0.0053224188717966,0.0053611169522583,0.0053310025250716,0.0054316714085982,0.0054020461614916
21108,975,0.0056050192609892,0.005413815543757,0.0053854589855497,0.005348860141958,0.0053252926223629,0.0053056275845693,0.0053234136355663,0.0052949370377428,0.005292549589357,0.0052832721162154,0.0052991593421111,0.0052579594760805,0.0052777577255202,0.0052973211598532,0.0053002775275821,0.0052704878761053,0.0052759033257094,0.005283952057119,0.0052929457378217,0.005299905514495,0.005310085092489,0.0053128814005787,0.005308414792965,0.0053346724516365,0.0053247529210413,0.005319245734348,0.0053551760495955,0.0053635411072731,0.0054052321881615,0.0053384678518968
21826,134,0.0055306489540177,0.0053574440831011,0.0052966845215196,0.0052738353479824,0.0052843083436276,0.0052749457213248,0.0052660634380157,0.0052470470589307,0.0052347879288688,0.0052290131932643,0.005235196884587,0.0052385210680327,0.0052276197135969,0.0052452517001487,0.0052124066554497,0.0051971178194262,0.0052409373403638,0.0052435891140204,0.0051862258224294,0.0052143222407584,0.0052424402629866,0.0051801346773998,0.0051944190945848,0.0051982760969217,0.0052213910335572,0.0052104107744343,0.0051733397422268,0.0052461274205231,0.0051892475125486,0.005222906278423
23284,63,0.0055840803570779,0.0053957008981126,0.0053411248141176,0.0053610497824969,0.0053301566495973,0.0053134184155392,0.0052874812760835,0.0053053549017162,0.0053110144628798,0.0052867387022897,0.0052958591858412,0.0053135988844017,0.005316807979997,0.0053090347220074,0.0053394655981911,0.005311695534495,0.0052856908471107,0.0053067985166921,0.0053027844385237,0.0052885918073213,0.0052446750768911,0.0052518887585421,0.0052469160486757,0.0052272781308335,0.005238613481603,0.0051743436027705,0.0051949734413523,0.00523452377762,0.0051732712783896,0.0051924474153942
24770,628,0.0055890259611425,0.0053924822791929,0.0053375510173447,0.0053149995313721,0.0052872435691499,0.0052696911845894,0.0052828844107981,0.0053088743369346,0.0053036951206301,0.0053196137106849,0.005304725538414,0.0053216841761271,0.005325441485091,0.0052841519863479,0.0053100530230181,0.0053391691680386,0.0053324693701998,0.0052787708621405,0.0052936108054919,0.005279644221902,0.0052667811269784,0.0053386152119087,0.0052645371607602,0.005236086302207,0.0052904209832832,0.0052787977017342,0.0052233223276139,0.0051901153244517,0.0052679708883848,0.0053769404664724
